Country,2013,2009,2005,2001
Afghanistan,4500,3400,2500,1700
Albania,1000,500,500,100
Algeria,25000,20000,16000,12000
Andorra,0,0,0,0
Angola,250000,200000,150000,120000
Antigua and Barbuda,0,0,0,0
Argentina,0,0,0,0
Armenia,3700,2800,2200,1500
Australia,28000,25000,22000,17000
Austria,0,0,0,0
Azerbaijan,9200,6900,4700,2200
Bahamas,7700,7600,6800,6100
Bahrain,0,0,0,0
Bangladesh,9500,7000,5100,2500
Barbados,1700,1600,1400,1300
Belarus,25000,19000,12000,6200
Belgium,0,0,0,0
Belize,3300,3000,2800,2600
Benin,74000,67000,63000,61000
Bhutan,1000,500,500,200
Bolivia,15000,18000,22000,27000
Bosnia and Herzegovina,0,0,0,0
Botswana,320000,310000,290000,290000
Brazil,730000,0,0,0
Brunei Darussalam,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,110000,120000,130000,180000
Burundi,83000,97000,110000,100000
Cote d'Ivoire,370000,440000,550000,630000
Cabo Verde,1500,1400,1200,1100
Cambodia,75000,82000,94000,110000
Cameroon,600000,600000,580000,500000
Canada,0,0,0,0
Central African Republic,120000,140000,160000,190000
Chad,210000,220000,210000,170000
Chile,38000,33000,31000,32000
China,0,0,0,0
Colombia,140000,130000,130000,140000
Comoros,0,0,0,0
Congo,69000,77000,86000,96000
Cook Islands,0,0,0,0
Costa Rica,7600,7100,5400,5700
Croatia,0,0,0,0
Cuba,16000,10000,4900,2100
Cyprus,500,500,500,500
Czech Republic,3400,2400,1500,1000
Democratic People's Republic of Korea,0,0,0,0
Democratic Republic of the Congo,440000,440000,440000,410000
Denmark,5800,5000,4200,3300
Djibouti,6200,9000,11000,9800
Dominica,0,0,0,0
Dominican Republic,46000,51000,61000,72000
Ecuador,37000,34000,31000,29000
Egypt,7400,5100,3200,1900
El Salvador,21000,20000,19000,18000
Equatorial Guinea,0,0,0,0
Eritrea,18000,20000,26000,30000
Estonia,8600,7900,6900,4100
Ethiopia,790000,920000,1200000,1400000
Fiji,1000,500,500,500
Finland,0,0,0,0
France,0,0,0,0
Gabon,41000,44000,45000,39000
Gambia,13000,12000,10000,6500
Georgia,6400,4400,2600,1200
Germany,0,68000,57000,46000
Ghana,220000,240000,260000,260000
Greece,0,0,0,0
Grenada,0,0,0,0
Guatemala,53000,49000,37000,27000
Guinea,130000,110000,86000,66000
Guinea-Bissau,41000,38000,34000,27000
Guyana,7700,6600,4900,3300
Haiti,140000,140000,150000,160000
Honduras,24000,28000,35000,43000
Hungary,0,0,0,0
Iceland,0,0,0,0
India,2100000,2100000,2400000,2400000
Indonesia,640000,450000,250000,81000
Iran (Islamic Republic of),70000,59000,43000,21000
Iraq,0,0,0,0
Ireland,0,0,0,0
Israel,0,0,0,0
Italy,120000,120000,110000,98000
Jamaica,30000,31000,32000,34000
Japan,0,0,0,0
Jordan,0,0,0,0
Kazakhstan,0,0,0,0
Kenya,1600000,1500000,1400000,1600000
Kiribati,0,0,0,0
Kuwait,0,0,0,0
Kyrgyzstan,8000,5600,2000,1000
Lao People's Democratic Republic,5800,5100,4200,3100
Latvia,0,0,0,0
Lebanon,0,0,0,0
Lesotho,360000,330000,290000,260000
Liberia,30000,37000,46000,51000
Libya,0,0,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
Madagascar,54000,65000,67000,60000
Malawi,1000000,1100000,1100000,1100000
Malaysia,86000,77000,67000,58000
Maldives,100,100,100,100
Mali,97000,100000,110000,100000
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,9600,11000,9800,6300
Mexico,180000,160000,140000,110000
Micronesia (Federated States of),0,0,0,0
Monaco,0,0,0,0
Mongolia,1000,500,100,100
Montenegro,0,0,0,0
Morocco,31000,24000,16000,9600
Mozambique,1600000,1400000,1200000,830000
Myanmar,190000,210000,240000,220000
Namibia,250000,230000,210000,190000
Nauru,0,0,0,0
Nepal,39000,48000,54000,39000
Netherlands,0,0,0,0
New Zealand,0,0,0,0
Nicaragua,7100,5300,4200,3400
Niger,41000,51000,62000,60000
