Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,492,430,2787,3013,1989,2861,1599,1141,1990,1296,466,798,2486,8762,6532
Albania,0,0,9,28,10,0,0,22,68,6,7,8,16,18,662
Algeria,0,25,18,112,103,107,217,0,944,2302,3289,15374,5862,2686,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
Angola,11699,8523,4458,1449,1190,2807,265,1014,765,258,29,1196,11945,9046,2219
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1,0,2,3,17,3,0,0,0,0,0,0,0,0,6
Armenia,13,10,0,0,2,0,0,1,137,2281,1783,4,40,69,15
Australia,340,158,199,190,70,104,65,11,0,10,70,91,32,141,108
Austria,0,0,36,68,52,49,448,20,23,9,15,90,0,0,0
Azerbaijan,0,164,0,0,0,0,5,0,222,1238,827,1978,4353,574,210
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,46,0,0,0,0,3,2,7,3,4,11,12,8,5,6
Bangladesh,289,237,1986,5625,788,718,2660,2924,6192,25934,9743,4067,3484,4414,5098
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,64,16,10,50,1,0,0,1,149,1,2,21,14,45,21
Belgium,70,39,109,576,40,33,98,64,15,26,61,44,0,83,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,786,637,288,426,392,1461,928,341,176,210,262,217,1588,5859,4244
Bhutan,0,0,1,10,21,6,7,11,0,11,3,0,27,756,418
Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
Bosnia and Herzegovina,3000,0,22,10,45,22,8,166,17,23,28,18,28,0,43
Botswana,1,1,7,8,853,184,0,1,6,5,1,59,7,1,2672
Brazil,733,220,2,43,68,0,0,0,57,6,0,2,1,1,36
Brunei Darussalam,1,0,1,4,0,2,3,0,0,9,16,24,0,11,42
Bulgaria,0,14,1,157,22004,2249,1,1,1,3,0,0,0,8,46
Burkina Faso,343,375,7362,860,2511,54118,395,12,125,253,77,2946,1744,4174,6074
Burundi,0,0,49,129,495,305,173,43,784,0,2,224,1016,0,18363
Cote d'Ivoire,50,48,137,628,441,183,12,5,11,115,3466,4770,5882,5790,5729
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cambodia,0,0,15,722,1156,4779,4211,394,188,264,352,653,1361,3761,12237
Cameroon,831,760,609,504,240,251,495,100,196,605,358,899,1448,23934,14629
Canada,418,82,10,759,99,14,62,101,13,6,7,15,6,34,206
Central African Republic,210,596,141,679,2,11,12,49,3,471,1233,652,938,2837,3207
Chad,1275,226,120,8650,194,165,63,441,1594,2,10324,15801,7277,24908,3546
Chile,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0
