Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,20,18,39,21,22,50,824,236,1696,896,2236,3124,1414,1651
Algeria,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,2,1,0,0,0,0,4,3,1,2,1,0,4,0
Angola,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,3772,4619,5481,5083,5913,12198,11575,11461,10727,11483,0,0,17970,0
Armenia,2,2,6,15,38,71,98,133,128,167,504,0,1759,987,3431
Australia,187,216,195,145,89,164,286,579,0,240,106,76,68,113,212
Azerbaijan,9,76,126,101,125,232,82,129,162,303,508,794,5178,7138,6817
Bahamas,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Bahrain,21,59,29,18,46,16,77,91,22,87,35,35,0,21,167
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,4,8,61,48,88,172,245,318,446,502,759,2189,7044,10758,19069
Belgium,228,4573,2687,15,31,59,46,54,54,70,56,94,0,6,0
Belize,0,0,2,0,0,0,0,0,24,30,0,0,3,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,206,20,198,262,218,0,0,0,0,144,0,0,0,5333,1967
Bolivia (Plurinational State of),586,764,0,1096,1781,3696,10566,0,0,0,0,0,0,0,680
Bosnia and Herzegovina,0,0,7881,8209,209,474,54,83,91,93,141,0,1485,0,3577
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,3,0,14,19,12,1,41,0,0,25,21,27,0,35,33
Bulgaria,31,25,58,139,317,1111,5582,5299,911,608,91,180,334,1446,2357
Burkina Faso,0,8090,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,1,11,40,198,42,3,13,0,0,0,0,0,2,0,0
Cambodia,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
Canada,40,92,54,282,799,214,748,1108,37,83,32,20,197,0,88
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,821,876,950,891,825,1243,1387,1497,1587,1491,1826,0,2262,2352
China,187500,327759,479518,454385,298932,299329,310826,252701,273242,291135,226619,0,0,0,0
Colombia,7368,7884,9397,15926,10376,9457,5930,2294,2243,2366,1545,1505,1401,1401,0
Comoros,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0,420,0,0,0,1,0,0,0
Costa Rica,0,0,30,1,17,25,0,0,0,46,66,282,0,298,419
Croatia,0,35,95,86,37,56,110,74,66,155,84,72,101,116,152
Cuba,0,0,0,0,1,4,11,267,882,346,279,0,0,0,0
Cyprus,1,0,3,0,2,5,3,0,0,5,14,0,0,0,0
Czech Republic,677,1553,3902,2885,1068,357,403,1297,5172,1803,244,753,748,107,120
Democratic People's Republic of Korea,0,0,11,66,0,18,67,176,176,187,2050,2710,2710,0,0
Denmark,41,60,15,13,32,17,24,11,13,11,8,3,12,15,34
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,498,0,0,0,0,0,0,0,0,0,10,0,0,2760
Ecuador,1522,1308,799,733,1331,837,626,11,0,1037,0,0,0,0,0
